gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,R_score,F_score,M_score,RFM_score,CLV_proxy,rfm_cluster,cluster_churn_rate,risk_adjusted_clv,customerID,actual_churn,predicted_churn,churn_probability
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05,1,1,4,114,85.05,1,0.4363419007770472,47.93912133891213,1069-XAIEM,1,1,0.9572675699557696
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.05,186.05,1,1,4,114,186.05,1,0.4363419007770472,104.86858936043036,2545-EBUPK,0,1,0.9563211726454178
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,1,1,4,114,360.1,1,0.4363419007770472,202.9732815301853,4750-ZRXIU,1,1,0.952274679984632
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,264.8,1,1,4,114,264.8,1,0.4363419007770472,149.2566646742379,8593-WHYHV,1,1,0.9513123157854687
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.35,88.35,1,1,4,114,88.35,1,0.4363419007770472,49.79919306634787,3722-WPXTK,1,1,0.9513065977093049
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,169.8,1,1,4,114,169.8,1,0.4363419007770472,95.70914524805738,1143-NMNQJ,1,1,0.951072341218088
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,1,1,4,114,89.55,1,0.4363419007770472,50.47558278541542,0970-ETWGE,1,1,0.9502748260601048
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,95.1,1,1,5,115,95.1,1,0.4363419007770472,53.603885236102805,5178-LMXOP,1,1,0.9491718980429886
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,1,2,5,125,665.45,1,0.4363419007770472,375.08628212791393,6861-XWTWQ,1,1,0.9464298954460267
Female,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.05,1,1,4,114,308.05,1,0.4363419007770472,173.6348774656306,6630-UJZMY,0,1,0.9464127427981948
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,1,4,114,168.2,1,0.4363419007770472,94.80729228930065,2034-GDRCN,1,1,0.9455285770823142
