gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,R_score,F_score,M_score,RFM_score,CLV_proxy,rfm_cluster,cluster_churn_rate,risk_adjusted_clv,customerID,actual_churn,predicted_churn,churn_probability,Churn,churn_flag,tenure_group,rfm_segment,CLV_level,cluster_name,risk_clv_level
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05,1,1,4,114,85.05,0,0.4340855106888361,48.13102731591448,1069-XAIEM,1,1,0.9566070468009664,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.05,186.05,1,1,4,114,186.05,0,0.4340855106888361,105.28839073634204,2545-EBUPK,0,1,0.9553145571450052,No,0,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,95.1,1,1,5,115,95.1,0,0.4340855106888361,53.81846793349168,5178-LMXOP,1,1,0.953342682255674,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,1,1,4,114,360.1,0,0.4340855106888361,203.7858076009501,4750-ZRXIU,1,1,0.9506086874351984,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.35,88.35,1,1,4,114,88.35,0,0.4340855106888361,49.998545130641325,3722-WPXTK,1,1,0.950373428991004,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,169.8,1,1,4,114,169.8,0,0.4340855106888361,96.09228028503564,1143-NMNQJ,1,1,0.9502361828176497,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,264.8,1,1,4,114,264.8,0,0.4340855106888361,149.8541567695962,8593-WHYHV,1,1,0.9497870019571808,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,95.45,1,1,5,115,95.45,0,0.4340855106888361,54.01653800475059,0295-PPHDO,1,1,0.9494472158879116,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,1,1,4,114,89.55,0,0.4340855106888361,50.67764251781472,0970-ETWGE,1,1,0.9493685530796512,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,1,4,114,168.2,0,0.4340855106888361,95.18681710213777,2034-GDRCN,1,1,0.9446630919396944,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,1,2,5,125,665.45,0,0.4340855106888361,376.587796912114,6861-XWTWQ,1,1,0.9442393284913972,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.05,1,1,4,114,308.05,0,0.4340855106888361,174.32995843230404,6630-UJZMY,0,1,0.943719466459546,No,0,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,1,1,4,114,240.45,0,0.4340855106888361,136.07413895486934,9611-CTWIH,1,1,0.9430490188452872,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,291.9,1,1,5,115,291.9,0,0.4340855106888361,165.19043942992872,9057-SIHCH,1,1,0.941852001120627,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.95,700.85,1,2,5,125,700.85,0,0.4340855106888361,396.6211698337292,8884-ADFVN,1,1,0.941615851623814,Yes,1,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Low
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,329.95,1,1,5,115,329.95,0,0.4340855106888361,186.7234857482185,6023-YEBUP,1,1,0.9399583523143852,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,1,1,4,114,346.2,0,0.4340855106888361,195.9195961995249,2865-TCHJW,1,1,0.938907164219116,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,1,1,4,114,171.45,0,0.4340855106888361,97.02603919239904,4927-WWOOZ,0,1,0.9386961230563498,No,0,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,195.05,1,1,4,114,195.05,0,0.4340855106888361,110.38162114014251,4713-LZDRV,1,1,0.9369034727273672,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.0,424.75,1,1,4,114,424.75,0,0.4340855106888361,240.37217933491684,8739-XNIKG,0,1,0.9357958741411064,No,0,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,1,1,4,114,85.0,0,0.4340855106888361,48.10273159144893,6230-BSUXY,1,1,0.934867096753354,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,1,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,334.65,1,1,5,115,334.65,0,0.4340855106888361,189.38328384798095,1400-MMYXY,1,1,0.9327488574483832,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.95,171.15,1,1,4,114,171.15,0,0.4340855106888361,96.8562648456057,9878-TNQGW,1,1,0.9322669980459029,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,701.3,1,2,4,124,701.3,0,0.4340855106888361,396.8758313539192,8161-QYMTT,0,1,0.9291833268552075,No,0,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Low
Male,1,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,1273.3,1,2,5,125,1273.3,0,0.4340855106888361,720.5789192399048,3320-VEOYC,0,1,0.9278264295773976,No,0,13-24,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.75,512.25,1,1,4,114,512.25,0,0.4340855106888361,289.88969714964367,8622-ZLFKO,0,1,0.927674193505482,No,0,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.9,324.3,1,1,4,114,324.3,0,0.4340855106888361,183.52606888361044,4806-KEXQR,1,1,0.9272956562773268,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.5,79.5,1,1,4,114,79.5,0,0.4340855106888361,44.99020190023752,2514-GINMM,1,1,0.92678591634056,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,1,1,4,114,167.5,0,0.4340855106888361,94.79067695961994,7218-HKQFK,1,1,0.924789640556428,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.2,193.8,1,1,4,114,193.8,0,0.4340855106888361,109.67422802850356,3006-XIMLN,1,1,0.9232371839219504,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,1,1,4,114,85.0,0,0.4340855106888361,48.10273159144893,1628-BIZYP,0,1,0.9231880128185542,No,0,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,76.45,1,1,3,113,76.45,0,0.4340855106888361,43.26416270783848,9248-OJYKK,1,1,0.9217640762302756,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.85,84.85,1,1,4,114,84.85,0,0.4340855106888361,48.01784441805225,2202-CUYXZ,1,1,0.921032633860996,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.4,1581.2,1,2,5,125,1581.2,0,0.4340855106888361,894.8239904988122,8245-UMPYT,1,1,0.9174026226436178,Yes,1,13-24,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,1,1,3,113,74.5,0,0.4340855106888361,42.16062945368171,4415-IJZTP,1,1,0.915650568935942,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,545.2,1,1,5,115,545.2,0,0.4340855106888361,308.53657957244656,4587-VVTOX,1,1,0.9155131862393548,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,4,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.55,174.3,1,1,2,112,174.3,0,0.4340855106888361,98.63889548693588,2495-INZWQ,1,1,0.9151478924307828,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
